RaceID,Date,Meet,State,RaceNo,Winner,Opening,Starting,Fluctuation,FlucCat,PercFlucCat,PercentDiff,1BiggestFluc,2BiggestFluc,Jockey,Trainer,Ground,GroundCat,Favourite,Top2Flucs
751,15/2/23,Sandown,Victoria,4,Pacific Ruby,2.6,2.25,0.35,Minimal,Minimal,0.134615385,NO,NO,Jamie Kah,C Maher & D Eustace,3,Good,YES,0
752,15/2/23,Sandown,Victoria,5,Gargantuan,31,9.5,21.5,Huge,Huge,0.693548387,NO,YES,Jarrod Fry,Erin Maher,3,Good,NO,1
753,15/2/23,Sandown,Victoria,6,Senegalia,2.5,3.5,-1,Negative,None/Negative,-0.4,NO,NO,Jamie Kah,C Maher & D Eustace,3,Good,YES,0
754,15/2/23,Sandown,Victoria,7,Edith,2.2,2.05,0.15,Minimal,Minimal,0.068181818,NO,YES,Luke Nolen,P G Moody,3,Good,YES,1
755,15/2/23,Sandown,Victoria,8,Shove Over,9.5,7.5,2,Minimal,Decent,0.210526316,NO,NO,Carleen Hefel,J F Moloney,3,Good,NO,0
756,16/2/23,Ipswich,Queensland,1,Adelad,2.6,3.9,-1.3,Negative,None/Negative,-0.5,NO,NO,Ben Thompson,Tony & M Sears,3,Good,NO,0
757,16/2/23,Ipswich,Queensland,2,Diana's Affair,2.8,2.6,0.2,Minimal,Minimal,0.071428571,NO,YES,James Orman,K M Schweida,3,Good,NO,1
758,16/2/23,Ipswich,Queensland,3,Got The Vibe,13,6.5,6.5,Big,Big,0.5,YES,NO,G Cartwright,D L Freedman,3,Good,NO,1
759,16/2/23,Ipswich,Queensland,4,Celestial Sol,19,6.5,12.5,Huge,Huge,0.657894737,YES,NO,Rikki Jamieson,H J Norman,3,Good,NO,1
760,16/2/23,Ipswich,Queensland,5,Cabrinella,2.9,1.85,1.05,Minimal,Decent,0.362068966,NO,NO,Bailey Wheeler,Rochelle Pereira,3,Good,YES,0
761,16/2/23,Ipswich,Queensland,6,Bulsara,12,13,-1,Negative,None/Negative,-0.083333333,NO,NO,Larry Cassidy,P Duff,3,Good,NO,0
762,16/2/23,Ipswich,Queensland,7,Hearsay,2.15,1.85,0.3,Minimal,Minimal,0.139534884,NO,YES,Kyle Wilson-Taylor,Chris Munce,3,Good,YES,1
763,16/2/23,Ipswich,Queensland,8,Magic Charlee,6.5,5.5,1,Minimal,Minimal,0.153846154,NO,NO,Bailey Wheeler,M A Currie,3,Good,NO,0
764,16/2/23,Ipswich,Queensland,9,Devillain,31,11,20,Huge,Huge,0.64516129,NO,YES,Larry Cassidy,P Duff,3,Good,NO,1
765,17/2/23,Mooney Valley,Victoria,1,No Secret,3.4,2.35,1.05,Minimal,Decent,0.308823529,NO,YES,Blake Shinn,M D Moroney,3,Good,YES,1
766,17/2/23,Mooney Valley,Victoria,2,Tick Tock Lady,6,6,0,No Change,None/Negative,0,NO,NO,Jordan Childs,G M Begg,3,Good,NO,0
767,17/2/23,Mooney Valley,Victoria,3,Euro Dandy,5,3.1,1.9,Minimal,Decent,0.38,NO,YES,Blake Shinn,Chris Calthorpe,3,Good,YES,1
768,17/2/23,Mooney Valley,Victoria,4,Unflinching,3,4,-1,Negative,None/Negative,-0.333333333,NO,NO,Jett Stanley,A & S Freedman,3,Good,YES,0
769,17/2/23,Mooney Valley,Victoria,5,Alverdun,3.6,3.5,0.1,Minimal,Minimal,0.027777778,NO,NO,Thomas Stockdale,T Busuttin & N Young,3,Good,YES,0
770,17/2/23,Mooney Valley,Victoria,6,Wagon Wheel,12,3.5,8.5,Big,Huge,0.708333333,YES,NO,Jamie Kah,Aaron Purcell,3,Good,YES,1
771,17/2/23,Mooney Valley,Victoria,7,Swords Drawn,5,7,-2,Negative,None/Negative,-0.4,NO,NO,Craig Williams,M D Moroney,3,Good,NO,0
772,17/2/23,Mooney Valley,Victoria,8,Vongole,6,4.6,1.4,Minimal,Decent,0.233333333,NO,YES,Carleen Hefel,E Jusufovic,3,Good,NO,1
773,17/2/23,Canterbury,New South Wales,1,Inhibitions,6.5,6,0.5,Minimal,Minimal,0.076923077,NO,NO,Kerrin McEvoy,James Cummings,4,Good,NO,0
774,17/2/23,Canterbury,New South Wales,2,Windshadow,6,4,2,Minimal,Decent,0.333333333,NO,YES,Brenton Avdulla,C Maher & D Eustace,4,Good,NO,1
775,17/2/23,Canterbury,New South Wales,3,Tavi Time,3.3,2.2,1.1,Minimal,Decent,0.333333333,NO,NO,Dylan Gibbons,K A Lees,4,Good,YES,0
776,17/2/23,Canterbury,New South Wales,4,Miss Kojiki,13,14,-1,Negative,None/Negative,-0.076923077,NO,NO,Nash Rawiller,T S Howlett,4,Good,NO,0
777,17/2/23,Canterbury,New South Wales,5,For Valour,3.1,2.8,0.3,Minimal,Minimal,0.096774194,NO,YES,Brett Pebble,G Waterhouse & A Bott,4,Good,YES,1
778,17/2/23,Canterbury,New South Wales,6,Sophia's Magic,3.5,2.8,0.7,Minimal,Decent,0.2,NO,YES,Nash Rawiller,C J Waller,4,Good,YES,1
779,17/2/23,Canterbury,New South Wales,7,Zanzibar Gem,3.3,2.25,1.05,Minimal,Decent,0.318181818,YES,NO,Dylan Gibbons,K A Lees,4,Good,YES,1
780,17/2/23,Canterbury,New South Wales,8,Brudenell,5,5.5,-0.5,Negative,None/Negative,-0.1,NO,NO,Dylan Gibbons,K A Lees,4,Good,NO,0
781,18/2/23,Rosehill,New South Wales,1,Blood River,34,13,21,Huge,Huge,0.617647059,YES,NO,Regan Bayliss,Danielle Seib,4,Good,NO,1
782,18/2/23,Rosehill,New South Wales,2,Cheerful Legend,5,7,-2,Negative,None/Negative,-0.4,NO,NO,Jason Collett,Nathan Doyle,4,Good,NO,0
783,18/2/23,Rosehill,New South Wales,3,Parisal,6.5,3.5,3,Small,Big,0.461538462,NO,NO,Zac Lloyd,James Cummings,4,Good,NO,0
784,18/2/23,Rosehill,New South Wales,4,Cylinder,6.5,4.6,1.9,Minimal,Decent,0.292307692,NO,YES,Brenton Avdulla,James Cummings,4,Good,NO,1
785,18/2/23,Rosehill,New South Wales,5,Lindermann,13,8,5,Small,Decent,0.384615385,NO,YES,Nash Rawiller,C J Waller,4,Good,NO,1
786,18/2/23,Rosehill,New South Wales,6,Electric Girl,10,8,2,Minimal,Decent,0.2,NO,YES,Zac Lloyd,M & W & J Hawkes,4,Good,NO,1
787,18/2/23,Rosehill,New South Wales,7,King Frankel,4,2.45,1.55,Minimal,Decent,0.3875,YES,NO,Tyler Schiller,Mark Newnham,4,Good,YES,1
788,18/2/23,Rosehill,New South Wales,8,Osipenko,8,8,0,No Change,None/Negative,0,NO,NO,Nash Rawiller,C J Waller,4,Good,NO,0
789,18/2/23,Rosehill,New South Wales,9,Zeyrek,23,27,-4,Negative,None/Negative,-0.173913043,NO,NO,Jason Collett,M & W & J Hawkes,4,Good,NO,0
790,18/2/23,Rosehill,New South Wales,10,Andermatt,5,5,0,No Change,None/Negative,0,NO,NO,Zac Lloyd,James Cummings,4,Good,NO,0
791,18/2/23,Flemington,Victoria,1,So You See,7.5,7,0.5,Minimal,Minimal,0.066666667,NO,YES,Jye McNeil,M D Moroney,3,Good,NO,1
792,18/2/23,Flemington,Victoria,2,Wollombi,13,12,1,Minimal,Minimal,0.076923077,NO,YES,Damien Oliver,P & P Snowden,3,Good,NO,1
793,18/2/23,Flemington,Victoria,3,Maharba,6,3.2,2.8,Small,Big,0.466666667,NO,YES,Damian Lane,G M Begg,3,Good,YES,1
794,18/2/23,Flemington,Victoria,4,Nobel Heights,9,10,-1,Negative,None/Negative,-0.111111111,NO,NO,Damian Lane,Matthew Cumani,3,Good,NO,0
795,18/2/23,Flemington,Victoria,5,Annavisto,2.6,2.15,0.45,Minimal,Minimal,0.173076923,NO,YES,Jamie Kah,M Price & M K Jnr,3,Good,YES,1
796,18/2/23,Flemington,Victoria,6,Elliptical,6,7,-1,Negative,None/Negative,-0.166666667,NO,NO,Blake Shinn,A & S Freedman,3,Good,NO,0
797,18/2/23,Flemington,Victoria,7,Coolangatta,7.5,9,-1.5,Negative,None/Negative,-0.2,NO,NO,Jamie Kah,C Maher & D Eustace,3,Good,NO,0
